Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,JPM,NVDA,SPY,XLF,AAPL,JPM,NVDA,SPY,XLF,AAPL,JPM,NVDA,SPY,XLF,AAPL,JPM,NVDA,SPY,XLF,AAPL,JPM,NVDA,SPY,XLF,AAPL,JPM,NVDA,SPY,XLF
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02,270.27435302734375,320.9229431152344,188.40911865234375,677.8753051757812,54.26626205444336,271.010009765625,325.4800109863281,188.85000610351562,683.1699829101562,54.93000030517578,277.8399963378906,325.7300109863281,192.92999267578125,686.8699951171875,55.0,269.0,320.739990234375,188.25999450683594,679.8200073242188,54.34000015258789,272.260009765625,322.5,189.83999633789062,685.7100219726562,54.83000183105469,37838100,8054000,148240500,89377200,36087100
2026-01-05,266.5345458984375,329.3630676269531,187.6808319091797,682.3900756835938,55.451759338378906,267.260009765625,334.0400085449219,188.1199951171875,687.719970703125,56.130001068115234,271.510009765625,337.25,193.6300048828125,689.4299926757812,56.5099983215332,266.1400146484375,325.19000244140625,186.14999389648438,686.3800048828125,54.81999969482422,270.6400146484375,325.5,191.75999450683594,686.5399780273438,54.81999969482422,45647200,10752600,183529700,71927200,58044100
2026-01-06,261.64776611328125,331.41326904296875,186.80288696289062,686.4483642578125,55.718502044677734,262.3599853515625,334.6099853515625,187.24000549316406,691.8099975585938,56.400001525878906,267.54998779296875,335.8699951171875,192.1699981689453,692.3200073242188,56.52000045776367,262.1199951171875,330.6499938964844,186.82000732421875,687.780029296875,55.9900016784668,267.0,332.6199951171875,190.52000427246094,687.9299926757812,56.040000915527344,52352100,7660800,176862600,69273800,38950800
2026-01-07,259.6233215332031,323.8660888671875,188.6685028076172,684.2356567382812,54.938045501708984,260.3299865722656,326.989990234375,189.11000061035156,689.5800170898438,55.61000061035156,263.67999267578125,332.1499938964844,191.3699951171875,693.9600219726562,56.34000015258789,259.80999755859375,324.6000061035156,186.55999755859375,689.3200073242188,55.540000915527344,263.20001220703125,331.1400146484375,188.57000732421875,692.1900024414062,56.22999954223633,48309800,9815200,153543200,75588300,44720900
2026-01-08,258.33685302734375,326.63934326171875,184.60801696777344,684.1661987304688,55.22454071044922,259.0400085449219,329.7900085449219,185.0399932861328,689.510009765625,55.900001525878906,259.2900085449219,331.3999938964844,189.5500030517578,690.6199951171875,56.25,255.6999969482422,325.6499938964844,183.7100067138672,687.489990234375,55.40999984741211,257.0199890136719,326.3900146484375,189.11000061035156,688.8200073242188,55.45000076293945,50419300,11737100,172457000,64019200,35358300
2026-01-09,258.6659240722656,326.0450744628906,184.42843627929688,688.6908569335938,55.05659484863281,259.3699951171875,329.19000244140625,184.86000061035156,694.0700073242188,55.72999954223633,260.2099914550781,331.8999938964844,186.33999633789062,695.3099975585938,56.15999984741211,256.2200012207031,328.1700134277344,183.6699981689453,689.1799926757812,55.720001220703125,259.0799865722656,329.3399963378906,185.0800018310547,690.6300048828125,55.97999954223633,39997000,6738100,131327500,80125500,29544900
2026-01-12,259.54351806640625,321.38995361328125,184.5082550048828,689.7723999023438,54.621910095214844,260.25,324.489990234375,184.94000244140625,695.1599731445312,55.290000915527344,261.29998779296875,326.0199890136719,187.1199951171875,696.0900268554688,55.36000061035156,256.79998779296875,321.2300109863281,183.02000427246094,690.6300048828125,54.84000015258789,259.1600036621094,321.8800048828125,183.22000122070312,690.6799926757812,55.029998779296875,45263800,12805100,137968500,63976000,42021600
2026-01-13,260.34136962890625,307.9297790527344,185.376220703125,688.3931884765625,53.5747184753418,261.04998779296875,310.8999938964844,185.80999755859375,693.77001953125,54.22999954223633,261.80999755859375,326.8599853515625,188.11000061035156,696.0900268554688,55.22999954223633,258.3900146484375,310.57000732421875,183.39999389648438,691.3499755859375,54.150001525878906,258.7200012207031,324.29998779296875,185.0,695.489990234375,55.150001525878906,45730800,19371200,160128900,78309700,77045100
